label,message
ham,Can we meet tomorrow for lunch?
spam,You have been selected for a opportunity to win an iPhone. Click here to claim your prize.
ham,Can we meet tomorrow for lunch?
spam,Congratulations! You've won angstrom unit $1000 Walmart empower card. Go to our site to claim now.
ham,Can we meet tomorrow for lunch?
spam,Congratulations! You've won a $1000 Walmart gift card. Go to our situation to claim now.
ham,Can we meet tomorrow for lunch?
spam,You have been selected for group a chance to deliver the goods an iPhone. Click here to claim your prize.
ham,"Hey, are you coming to the party tonight?"
spam,Congratulations! You've won a $1000 Walmart natural endowment card. Go to our site to claim now.
ham,Can we meet tomorrow for lunch?
spam,You have been choose for a chance to win an iPhone. click here to claim your prize.
ham,"Hey, are you coming to the party tonight?"
spam,You have exist choose for a chance to advance an iPhone. Click here to claim your prize.
ham,"Hey, are you coming to the political party tonight?"
spam,You have been selected for a chance to win an iPhone. Click here to claim your prize.
ham,"Hey, are you coming to the party tonight?"
spam,Congratulations! You've pull ahead a $1000 Walmart gift card. Go to our site to claim now.
ham,Can we meet tomorrow for lunch?
spam,You have been selected for a chance to win an iPhone. Click here to exact your prize.
ham,Can we fit tomorrow for lunch?
spam,You stimulate been take for a chance to win an iPhone. Click here to claim your prize.
ham,"Hey, are you coming to the party tonight?"
spam,You have exist selected for antiophthalmic factor probability to win an iPhone. Click here to claim your prize.
ham,Can we forgather tomorrow for lunch?
spam,Congratulations! You've won a $1000 Walmart gift card. Go to our land site to claim now.
ham,Can we meet tomorrow for lunch?
spam,Congratulations! You've won angstrom unit $1000 Walmart gift card. Go to our site to claim now.
ham,Can we foregather tomorrow for lunch?
spam,You have been selected for a chance to win an iPhone. Click hither to claim your prize.
ham,behind we meet tomorrow for lunch?
spam,You have cost selected for a chance to win an iPhone. tick here to claim your prize.
ham,Can we adjoin tomorrow for lunch?
spam,Congratulations! You've won a $1000 Walmart gift card. Go to our site to claim now.
ham,Can we meet tomorrow for lunch?
spam,Congratulations! You've won a $1000 Walmart gift card. Go to our site to claim now.
ham,ass we contact tomorrow for lunch?
spam,Congratulations! You've won a $1000 Walmart gift card. Go to our site to claim now.
ham,bum we converge tomorrow for lunch?
spam,You have follow selected for a chance to win an iPhone. Click here to claim your prize.
ham,Can we meet tomorrow for lunch?
spam,You have got been selected for a chance to win associate in nursing iPhone. Click here to claim your prize.
ham,Can we satisfy tomorrow for lunch?
spam,You have been select for a chance to win an iPhone. Click hera to claim your prize.
ham,"Hey, are you coming to the party tonight?"
spam,Congratulations! You've won a $1000 Walmart empower card. Go to our site to claim now.
ham,Can we meet tomorrow for lunch?
spam,You have personify selected for a chance to win an iPhone. Click here to call your prize.
ham,"Hey, are you coming to the party tonight?"
spam,You have been selected for a chance to win an iPhone. clink here to claim your prize.
ham,"Hey, are you coming to the party tonight?"
spam,You have been selected for adenine chance to win an iPhone. Click here to title your prize.
ham,Can we play tomorrow for lunch?
spam,You have been selected for a chance to win associate in nursing iPhone. fall into place here to claim your prize.
ham,Can we come across tomorrow for lunch?
spam,Congratulations! You've won a $1000 Walmart gift card. Go to our site to claim now.
ham,Can we meet tomorrow for lunch?
spam,You have been selected for a chance to win an iPhone. dog here to claim your prize.
ham,"Hey, are you coming to the party tonight?"
